id   , sku          , name                                         , slug                                       , description, short description, category           , brand            , retail_price, wholesale_price, cost_price, PURCHASE PRICE (Including tax), PURCHASE PRICE (Excluding tax), PROFIT MARGIN, OPENING STOCK, min_wholesale_qty, stock_quantity, low_stock_threshold, weight, ingredients, usage_instructions, tags, status   , image_url
C128 , 5011321868175, OLAY NATURAL AURA CREAM                      , olay-natural-aura-cream                    ,            ,                  ,                    , OLAY             ,         1650,         1402.5 ,    1237.5 ,                               ,                        1280   ,          1280, 28.90625     ,                10,               ,                    ,       ,            ,                   ,     , available, https://erp.letxtech.com/img/default.png
C149 , AA0021       , HIMALAYA HAIR CREAM                          , himalaya-hair-cream                        ,            ,                  ,                    , HIMALAYA         ,         1590,         1351.5 ,    1192.5 ,                               ,                        1200   ,              , 32.5         ,                10,               ,                    ,       ,            ,                   ,     , available, 
C150 , AA0022       , ALM ATTAR                                    , alm-attar                                  ,            ,                  ,                    , ALM              ,          390,          331.5 ,     292.5 ,                               ,                         255   ,              , 52.94117647  ,                10,               ,                    ,       ,            ,                   ,     , available, 
C151 , AA0023       , DOVE'S ATTAR                                 , dove's-attar                               ,            ,                  ,                    , DOVE             ,          300,          255   ,     225   ,                               ,                         110   ,              , 172.7272727  ,                10,               ,                    ,       ,            ,                   ,     , available, 
C152 , 8853709000039, PASSY PERFUME BN 22ML                        , passy-perfume-bn-22ml                      ,            ,                  ,                    ,                  ,          465,          395.25,     348.75,                               ,                         365   ,              , 27.39726027  ,                10,               ,                    ,       ,            ,                   ,     , available, 
C153 , 8439627610781, 9X BLUE PERFUME BN 22ML                      , 9x-blue-perfume-bn-22ml                    ,            ,                  ,                    ,                  ,          300,          255   ,     225   ,                               ,                         200   ,              , 50           ,                10,               ,                    ,       ,            ,                   ,     , available, 
C154 , 8439627601581, VIP GIRL PERFUME BN 22ML                     , vip-girl-perfume-bn-22ml                   ,            ,                  ,                    ,                  ,          300,          255   ,     225   ,                               ,                         200   ,              , 50           ,                10,               ,                    ,       ,            ,                   ,     , available, 
C155 , 6291106067064, MISS ELLE PERFUME BN 22ML                    , miss-elle-perfume-bn-22ml                  ,            ,                  ,                    ,                  ,          300,          255   ,     225   ,                               ,                         200   ,              , 50           ,                10,               ,                    ,       ,            ,                   ,     , available, 
C156 , 8439627583214, VIP MEN PERFUME BN 22ML                      , vip-men-perfume-bn-22ml                    ,            ,                  ,                    ,                  ,          300,          255   ,     225   ,                               ,                         200   ,              , 50           ,                10,               ,                    ,       ,            ,                   ,     , available, 
C157 , 8439627599994, COOL BLUE PERFUME BN 22ML                    , cool-blue-perfume-bn-22ml                  ,            ,                  ,                    ,                  ,          300,          255   ,     225   ,                               ,                         200   ,              , 50           ,                10,               ,                    ,       ,            ,                   ,     , available, 
